iterations,size
 45 ,10
 190 ,20
 435 ,30
 780 ,40
 1225 ,50
 1770 ,60
 2415 ,70
 3160 ,80
 4005 ,90
 4950 ,100
 5995 ,110
 7140 ,120
 8385 ,130
 9730 ,140
 11175 ,150
 12720 ,160
 14365 ,170
 16110 ,180
 17955 ,190
 19900 ,200
 21945 ,210
 24090 ,220
 26335 ,230
 28680 ,240
 31125 ,250
 33670 ,260
 36315 ,270
 39060 ,280
 41905 ,290
 44850 ,300
 47895 ,310
 51040 ,320
 54285 ,330
 57630 ,340
 61075 ,350
 64620 ,360
 68265 ,370
 72010 ,380
 75855 ,390
 79800 ,400
 83845 ,410
 87990 ,420
 92235 ,430
 96580 ,440
 101025 ,450
 105570 ,460
 110215 ,470
 114960 ,480
 119805 ,490
 124750 ,500
 129795 ,510
 134940 ,520
 140185 ,530
 145530 ,540
 150975 ,550
 156520 ,560
 162165 ,570
 167910 ,580
 173755 ,590
 179700 ,600
 185745 ,610
 191890 ,620
 198135 ,630
 204480 ,640
 210925 ,650
 217470 ,660
 224115 ,670
 230860 ,680
 237705 ,690
 244650 ,700
 251695 ,710
 258840 ,720
 266085 ,730
 273430 ,740
 280875 ,750
 288420 ,760
 296065 ,770
 303810 ,780
 311655 ,790
 319600 ,800
 327645 ,810
 335790 ,820
 344035 ,830
 352380 ,840
 360825 ,850
 369370 ,860
 378015 ,870
 386760 ,880
 395605 ,890
 404550 ,900
 413595 ,910
 422740 ,920
 431985 ,930
 441330 ,940
 450775 ,950
 460320 ,960
 469965 ,970
 479710 ,980
 489555 ,990
 499500 ,1000
